"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2026","7,350.51","7,404.91","7,418.15","7,323.97","-","-0.10%"
"Jun 24, 2026","7,358.22","7,370.88","7,428.06","7,336.82","-","-0.10%"
"Jun 23, 2026","7,365.46","7,366.51","7,424.17","7,347.60","-","-1.44%"
"Jun 22, 2026","7,472.79","7,500.44","7,530.01","7,460.01","-","-0.37%"
"Jun 18, 2026","7,500.58","7,487.36","7,511.07","7,468.32","-","1.08%"
"Jun 17, 2026","7,420.10","7,524.50","7,532.17","7,402.61","-","-1.21%"
"Jun 16, 2026","7,511.35","7,548.78","7,564.96","7,508.68","-","-0.57%"
"Jun 15, 2026","7,554.29","7,516.75","7,577.92","7,516.75","-","1.65%"
"Jun 12, 2026","7,431.46","7,410.85","7,456.40","7,363.01","-","0.50%"
"Jun 11, 2026","7,394.30","7,287.67","7,412.68","7,257.33","-","1.75%"
"Jun 10, 2026","7,266.99","7,350.54","7,396.56","7,265.93","-","-1.62%"
"Jun 09, 2026","7,386.65","7,438.66","7,483.15","7,237.85","-","-0.26%"
"Jun 08, 2026","7,405.73","7,440.57","7,466.81","7,395.13","-","0.30%"
"Jun 05, 2026","7,383.74","7,537.36","7,541.81","7,368.63","-","-2.64%"
"Jun 04, 2026","7,584.31","7,516.54","7,598.19","7,516.54","-","0.41%"
"Jun 03, 2026","7,553.68","7,605.31","7,605.35","7,551.22","-","-0.74%"
"Jun 02, 2026","7,609.78","7,595.40","7,620.90","7,582.99","-","0.13%"
"Jun 01, 2026","7,599.96","7,582.29","7,617.66","7,562.61","-","0.26%"
"May 29, 2026","7,580.06","7,579.33","7,599.38","7,563.55","-","0.22%"
"May 28, 2026","7,563.63","7,519.82","7,568.72","7,508.04","-","0.58%"
"May 27, 2026","7,520.36","7,526.01","7,530.72","7,499.72","-","0.02%"
"May 26, 2026","7,519.12","7,511.79","7,539.09","7,501.10","-","0.61%"
"May 22, 2026","7,473.47","7,468.82","7,506.32","7,463.29","-","0.37%"
"May 21, 2026","7,445.72","7,410.78","7,465.96","7,389.48","-","0.17%"
"May 20, 2026","7,432.97","7,369.19","7,435.69","7,357.46","-","1.08%"
"May 19, 2026","7,353.61","7,375.75","7,395.32","7,333.68","-","-0.67%"
"May 18, 2026","7,403.05","7,415.07","7,434.06","7,353.17","-","-0.07%"
"May 15, 2026","7,408.50","7,445.11","7,454.85","7,397.50","-","-1.24%"
"May 14, 2026","7,501.24","7,454.40","7,517.12","7,454.40","-","0.77%"
"May 13, 2026","7,444.25","7,409.12","7,460.04","7,375.13","-","0.58%"
"May 12, 2026","7,400.96","7,390.63","7,409.57","7,338.54","-","-0.16%"
"May 11, 2026","7,412.84","7,385.31","7,428.97","7,384.20","-","0.19%"
"May 08, 2026","7,398.93","7,362.97","7,401.50","7,362.97","-","0.84%"
"May 07, 2026","7,337.11","7,376.78","7,385.02","7,321.25","-","-0.38%"
"May 06, 2026","7,365.12","7,294.14","7,369.22","7,294.14","-","1.46%"
"May 05, 2026","7,259.22","7,233.62","7,273.26","7,233.62","-","0.81%"
"May 04, 2026","7,200.75","7,228.38","7,244.54","7,174.12","-","-0.41%"
"May 01, 2026","7,230.12","7,234.54","7,272.52","7,229.32","-","0.29%"
"Apr 30, 2026","7,209.01","7,161.75","7,219.83","7,126.15","-","1.02%"
"Apr 29, 2026","7,135.95","7,131.61","7,145.63","7,107.86","-","-0.04%"
"Apr 28, 2026","7,138.80","7,133.74","7,152.52","7,115.17","-","-0.49%"
"Apr 27, 2026","7,173.91","7,152.72","7,178.74","7,146.72","-","0.12%"
"Apr 24, 2026","7,165.08","7,136.48","7,168.59","7,112.82","-","0.80%"
"Apr 23, 2026","7,108.40","7,118.80","7,147.78","7,046.55","-","-0.41%"
"Apr 22, 2026","7,137.90","7,102.91","7,138.64","7,102.91","-","1.05%"
"Apr 21, 2026","7,064.01","7,122.64","7,137.27","7,050.20","-","-0.63%"
"Apr 20, 2026","7,109.14","7,117.05","7,122.65","7,084.41","-","-0.24%"
"Apr 17, 2026","7,126.06","7,074.55","7,147.52","7,074.55","-","1.20%"
"Apr 16, 2026","7,041.28","7,037.78","7,051.23","7,008.52","-","0.26%"
"Apr 15, 2026","7,022.95","6,978.17","7,026.24","6,967.13","-","0.80%"
"Apr 14, 2026","6,967.38","6,910.20","6,969.42","6,905.17","-","1.18%"
"Apr 13, 2026","6,886.24","6,806.47","6,887.00","6,790.02","-","1.02%"
"Apr 10, 2026","6,816.89","6,839.24","6,845.77","6,808.46","-","-0.11%"
